primary_metal,secondary_metal,primary_pct,secondary_pct,hydrothermal_temp_C,annealing_temp_C,annealing_time_min,catalyst_loading_mg_cm2,proton_conc_M,overpotential_mV
Sr,Ir,78.19677705,21.80322295,150,700,360.0,0.2264,1.0,269
Sr,Ir,73.28657643,20.43413585,150,700,360.0,0.2264,1.0,228
Ir,None,95.23809524,4.761904762,100,25,0.0,0.0972,0.1,277
Ir,None,83.33333333,16.66666667,100,25,0.0,0.097,0.1,294
Sr,Ir,50.0,50.0,25,900,1080.0,0.038216561,2.0,354
Sr,Ir,50.0,50.0,25,900,1080.0,0.038216561,2.0,282
Ir,None,100.0,0.0,160,25,0.0,0.0125,0.1,298
Ir,None,50.0,50.0,200,25,0.0,0.0125,0.1,305
Ir,Co,50.0,50.0,200,25,0.0,0.0125,0.1,308
Ir,Ni,66.66666667,33.33333333,180,25,0.0,0.0125,0.1,282
Ir,Ni,50.0,50.0,180,25,0.0,0.0125,0.1,280
Ir,None,71.34375262,28.65624738,190,25,0.0,0.0255,0.1,290
Ir,Ni,28.57142857,28.57142857,260,25,0.0,0.019267823,0.1,318
Ir,None,100.0,0.0,25,400,15.0,0.089681528,0.1,248
Ir,None,100.0,0.0,25,450,15.0,0.089681528,0.1,247
Ir,None,100.0,0.0,25,500,15.0,0.089681528,0.1,299
Ir,None,100.0,0.0,25,550,15.0,0.089681528,0.1,304
Ir,Ru,70.0,30.0,25,450,15.0,0.089681528,0.1,193
Ti,None,60.4901321,25.92434233,180,25,0.0,0.026751592,1.0,360
Ti,None,55.13943102,23.63118472,180,25,0.0,0.030573248,1.0,384
Co,None,100.0,0.0,25,350,240.0,5.04,1.0,385
Co,None,100.0,0.0,25,350,300.0,5.04,1.0,368
Co,None,100.0,0.0,25,350,60.0,5.04,1.0,372
Ru,Y,63.22874558,34.02104156,85,1050,720.0,0.2038216,1.0,290
Ru,Y,65.01684727,34.98315273,85,1050,720.0,0.2038216,1.0,370
Ir,None,100.0,0.0,250,500,300.0,0.2,0.1,364
Ir,None,66.66666667,33.33333333,250,500,300.0,0.2,0.1,331
Ir,None,50.0,50.0,250,500,300.0,0.2,0.1,349
Ir,Ru,70.0,30.0,25,490,30.0,0.06,0.1,362
Ir,None,100.0,0.0,60,400,120.0,0.994718395,1.0,269
Ir,None,80.0,20.0,60,400,120.0,0.994718395,1.0,283
Ir,None,60.0,40.0,60,400,120.0,0.994718395,1.0,276
Ir,None,52.63157895,47.36842105,200,25,0.0,0.078,0.1,346
Ir,None,52.63157895,47.36842105,200,25,0.0,0.078,0.1,323
Ti,Ir,91.55313351,8.446866485,80,25,0.0,0.063697513,1.0,347
Ti,Ir,88.94003913,11.05996087,80,25,0.0,0.078984916,1.0,323
Ti,Ir,84.42211055,15.57788945,80,25,0.0,0.10191602,1.0,333
Ti,Ir,78.32167832,21.67832168,80,25,0.0,0.129942926,1.0,336
Ir,None,100.0,0.0,25,200,120.0,0.06,0.1,326
Co,Ir,50.0,50.0,25,1100,1.0,0.0258,0.1,345
Co,Ir,75.0,25.0,25,1100,1.0,0.0258,0.1,289
Co,Ir,83.33333333,16.66666667,25,1100,1.0,0.0258,0.1,288
Co,Ir,90.90909091,9.090909091,25,300,180.0,0.0258,0.1,306
Co,Ir,75.0,25.0,25,200,120.0,0.06,0.1,300
Co,Ir,96.59042066,3.409579345,25,600,120.0,0.226,1.0,523
Co,Ir,96.59042066,3.409579345,25,700,120.0,0.226,1.0,383
Co,Ir,96.59042066,3.409579345,25,850,120.0,0.226,1.0,365
Co,Ir,76.4940239,23.5059761,35,25,0.0,0.212206591,2.0,280
Co,Ir,61.93548387,38.06451613,35,25,0.0,0.212206591,2.0,294
Co,Ir,86.68171558,13.31828442,35,25,0.0,0.212206591,2.0,311
Ir,None,100.0,0.0,25,190,30.0,0.0028,1.0,321
Ir,None,100.0,0.0,25,190,30.0,0.0056,1.0,302
Ir,None,100.0,0.0,25,190,30.0,0.0084,1.0,292
Ir,None,100.0,0.0,25,190,30.0,0.0112,1.0,287
Ir,None,100.0,0.0,25,190,30.0,0.014,1.0,284
Ti,Ir,85.71428571,14.28571429,25,500,60.0,0.229394242,0.1,335
Ti,Ir,80.8988764,14.843288,25,500,60.0,0.229394242,0.1,315
Ti,Ir,76.14571093,15.39365452,25,500,60.0,0.229394242,0.1,316
Ti,None,66.82134571,16.47331787,25,500,60.0,0.229394242,0.1,306
Co,Ni,65.18998557,32.59499279,25,300,120.0,1.501,1.0,240
Co,Ni,65.18998557,32.59499279,25,400,120.0,1.501,1.0,319
Co,Ni,65.18998557,32.59499279,25,500,120.0,1.501,1.0,342
Co,Ir,96.71386187,3.28613813,25,300,120.0,1.501,1.0,278
Ir,None,63.9151002,36.0848998,80,25,0.0,0.48,0.1,516
Ir,None,63.9151002,36.0848998,80,25,0.0,0.3912,0.1,523
Ir,None,63.9151002,36.0848998,80,25,0.0,0.33984,0.1,433
Ir,None,63.9151002,36.0848998,80,25,0.0,0.25488,0.1,534
Ir,None,100.0,0.0,25,900,120.0,0.048462,1.0,290
Ti,Ir,88.3550731,6.994659897,80,200,60.0,0.04331209,1.0,416
Ti,Ir,87.91394816,7.45900194,80,200,60.0,0.04585986,1.0,387
Ti,Ir,86.08458885,9.384643311,80,200,60.0,0.05605094,1.0,354
Ti,Ir,84.14438003,11.42696839,80,200,60.0,0.06624202,1.0,323
Ti,Ir,80.45028143,15.31549324,80,200,60.0,0.084076433,1.0,304
Ir,None,100.0,0.0,80,200,60.0,0.25477707,1.0,301
Ru,None,50.0,50.0,25,900,360.0,0.2,0.1,280
Ru,Y,50.0,50.0,25,900,360.0,0.2,0.1,312
Ru,None,100.0,0.0,25,900,360.0,0.2,0.1,420
Ru,None,50.0,50.0,25,900,360.0,0.2,0.1,215
Sr,Ir,69.21815502,23.86226449,25,1200,15.0,0.025477707,0.1,359
Sr,Ir,68.55952767,17.73299428,25,1200,15.0,0.025477707,0.1,347
Sr,Ru,68.21739837,17.07448021,25,1200,15.0,0.025477707,0.1,338
Sr,Ru,67.93104674,20.37273367,25,1200,15.0,0.025477707,0.1,339
Sr,Ru,67.29657368,26.90993761,25,1200,15.0,0.025477707,0.1,357
Ir,None,100.0,0.0,0,400,60.0,0.142,1.0,335
Ir,None,100.0,0.0,0,400,60.0,0.142,1.0,291
Ir,None,100.0,0.0,0,400,60.0,0.142,1.0,346
Ir,None,100.0,0.0,25,25,0.0,0.00196,0.1,314
Ru,None,100.0,0.0,50,450,60.0,0.15,1.0,282
Ir,None,100.0,0.0,50,450,60.0,0.15,1.0,337
Ru,Ir,75.0,25.0,50,450,60.0,0.15,1.0,232
Ru,Ir,50.0,50.0,50,450,60.0,0.15,1.0,206
Ir,Ru,75.0,25.0,50,450,60.0,0.15,1.0,250
Ir,None,52.930948,47.069052,250,25,0.0,0.013458333,0.1,305
Ir,None,65.50883789,25.0,25,900,900.0,0.2,0.1,344
Co,Ir,63.16121901,21.04847624,25,500,120.0,0.152866242,1.0,319
Ir,None,100.0,0.0,25,450,120.0,0.204,1.0,198
Ir,None,100.0,0.0,25,450,120.0,0.204,1.0,199
Ir,None,100.0,0.0,25,450,120.0,0.204,1.0,190
Ir,None,100.0,0.0,25,650,180.0,0.010791325,1.0,369
Ir,None,100.0,0.0,25,650,180.0,0.010791325,1.0,301
Ir,None,100.0,0.0,25,650,180.0,0.010791325,1.0,338
Sr,Ir,50.67965588,49.32034412,25,1000,180.0,0.404,0.1,254
Sr,Ir,50.67965588,49.32034412,25,1100,180.0,0.404,0.1,245
Sr,Ir,50.67965588,49.32034412,25,1200,180.0,0.404,0.1,251
Sr,Ir,50.67965588,49.32034412,25,1000,180.0,0.404,1.0,278
Sr,Ir,50.67965588,49.32034412,25,1100,180.0,0.404,1.0,263
Sr,Ir,50.67965588,49.32034412,25,1200,180.0,0.404,1.0,288
Sr,Ir,50.0,50.0,25,850,720.0,0.404,0.1,256
Sr,Ir,50.0,50.0,25,850,720.0,0.404,1.0,270
Ir,None,70.0,30.0,140,25,0.0,0.0285,1.0,319
Ir,None,100.0,0.0,140,25,0.0,0.0285,1.0,279
Ir,None,100.0,0.0,320,25,0.0,0.046,0.1,290
Na,Ir,94.11764706,5.882352941,25,25,0.0,0.1,0.1,366
Na,Ir,88.88888889,11.11111111,25,25,0.0,0.1,0.1,288
Ru,None,66.66666667,33.33333333,140,25,0.0,0.40764,0.1,219
Ir,None,50.0,50.0,25,500,160.0,2.0,1.0,326
Ir,None,67.0,33.0,25,500,160.0,2.0,1.0,335
Ir,None,75.0,25.0,25,500,160.0,2.0,1.0,343
Ir,None,80.0,20.0,25,500,160.0,2.0,1.0,350
Ir,None,90.0,10.0,25,500,160.0,2.0,1.0,371
Ir,None,100.0,0.0,60,450,60.0,0.102,1.0,344
Ir,Ni,90.0,10.0,60,450,60.0,0.102,1.0,343
Ir,Ni,80.0,20.0,60,450,60.0,0.102,1.0,334
Ir,Ni,70.0,30.0,60,450,60.0,0.102,1.0,336
Ir,Ni,60.0,40.0,60,450,60.0,0.102,1.0,338
Ir,Ni,50.0,50.0,60,450,60.0,0.102,1.0,374
Ir,None,100.0,0.0,25,450,15.0,0.179363057,0.1,220
Co,Ir,91.16809117,8.831908832,120,300,20.0,0.016276596,0.1,308
Ir,None,59.88023952,40.11976048,150,400,360.0,0.128,0.1,306
Ir,None,66.22516556,33.77483444,150,400,360.0,0.107,0.1,294
Ir,None,80.0,20.0,150,400,360.0,0.075,0.1,289
Ir,None,100.0,0.0,150,400,360.0,0.2,0.1,337
Ir,None,100.0,0.0,150,200,360.0,0.2,0.1,347
Ir,None,100.0,0.0,150,500,360.0,0.2,0.1,381
Ir,None,100.0,0.0,150,600,360.0,0.2,0.1,398
Ir,None,100.0,0.0,150,700,360.0,0.2,0.1,431
Ru,Y,50.0,50.0,80,1050,720.0,0.206666667,1.0,303
Ru,Y,50.0,47.5,80,1050,720.0,0.206666667,1.0,284
Ru,Y,50.0,46.25,80,1050,720.0,0.206666667,1.0,279
Ru,Y,50.0,43.75,80,1050,720.0,0.206666667,1.0,288
Ru,Y,50.0,40.0,80,1050,720.0,0.206666667,1.0,298
Ir,Ni,77.0,23.0,250,25,0.0,0.011136242,0.1,294
Ir,Co,77.0,23.0,250,25,0.0,0.011136242,0.1,313
Ir,None,100.0,0.0,250,25,0.0,0.0102,0.1,328
Ir,Co,60.60606061,39.39393939,280,25,0.0,0.018,0.1,283
Co,Ir,59.67741935,40.32258065,280,25,0.0,0.018,0.1,300
Co,Ir,73.0458221,26.9541779,280,25,0.0,0.018,0.1,292
Ir,None,100.0,0.0,280,25,0.0,0.018,0.1,312
Ir,Ni,33.33333333,33.33333333,270,200,300.0,0.050955414,0.1,273
Ir,None,100.0,0.0,270,200,300.0,0.050955414,0.1,345
Ir,None,100.0,0.0,90,300,120.0,0.014,1.0,290
Ir,None,100.0,0.0,160,25,0.0,0.5823,0.1,245
Sr,Ir,50.0,25.0,25,1200,1440.0,0.03,0.1,393
Co,Ir,64.64451314,35.35548686,250,250,60.0,0.0125,0.1,311
Ir,None,60.0,40.0,25,350,360.0,0.56,1.0,245
Ir,None,60.0,40.0,25,450,360.0,0.56,1.0,292
Ir,None,70.0,30.0,25,350,360.0,0.56,1.0,248
Ir,None,50.0,50.0,25,350,360.0,0.56,1.0,251
Co,None,65.5922643,32.79613215,25,900,150.0,0.3375,1.0,270
Ru,Ir,75.0,25.0,25,400,60.0,0.38,1.0,266
Ti,Ir,69.69409082,30.30590918,100,500,30.0,0.011666667,0.1,445
Ir,None,100.0,0.0,150,25,0.0,0.142857143,1.0,254
Ru,Ir,68.91276794,31.08723206,25,25,0.0,0.019285714,1.0,298
Ru,Ir,68.91276794,31.08723206,25,400,120.0,0.018214286,1.0,188
Ir,None,50.0,50.0,180,250,480.0,0.004076433,1.0,309
Ir,None,50.0,50.0,180,250,480.0,0.004076433,1.0,348
Ir,None,75.0,25.0,280,25,0.0,0.012,0.1,281
Ir,None,50.0,50.0,280,25,0.0,0.012,0.1,272
Ir,None,100.0,0.0,280,25,0.0,0.012,0.1,307
Co,Ir,90.90909091,9.090909091,255,400,120.0,0.039,0.1,257
Co,Ir,90.90909091,9.090909091,255,500,120.0,0.039,0.1,276
Co,Ir,97.64617268,2.353827323,170,350,120.0,2.46741311,1.0,384
Co,None,48.82308634,48.82308634,170,350,120.0,2.411414499,1.0,270
Co,None,73.23462951,24.41154317,170,350,120.0,2.411414499,1.0,344
Ir,None,100.0,0.0,180,350,120.0,0.034693878,1.0,380
Ir,None,100.0,0.0,180,350,120.0,0.051020408,1.0,341
Ir,None,100.0,0.0,180,350,120.0,0.081632653,1.0,276
Ir,None,100.0,0.0,180,350,120.0,0.102040816,1.0,281
Na,None,99.0,0.737378288,25,450,40.0,0.14,0.1,256
Na,None,99.07188625,0.527081225,25,450,40.0,0.1,0.1,299
Na,None,99.14387697,0.316478538,25,450,40.0,0.06,0.1,295
Ir,None,100.0,0.0,80,150,15.0,0.137142857,1.0,240
Ir,None,100.0,0.0,250,25,0.0,0.02,1.0,310
Ir,None,100.0,0.0,250,25,0.0,0.05,1.0,308
Ir,None,100.0,0.0,250,25,0.0,0.1,1.0,300
Ru,None,100.0,0.0,25,300,240.0,0.275,1.0,239
Ru,None,100.0,0.0,25,300,240.0,0.275,1.0,243
Ir,Ru,80.0,20.0,200,25,0.0,0.02041,0.1,338
Ir,Ru,66.66666667,33.33333333,200,25,0.0,0.02041,0.1,331
Ir,Ru,50.0,50.0,200,25,0.0,0.02041,0.1,322
Ru,Ir,66.66666667,33.33333333,200,25,0.0,0.02041,0.1,308
Ru,Ir,80.0,20.0,200,25,0.0,0.02041,0.1,294
Ru,Ir,80.0,20.0,25,300,,0.017,0.1,370
Ru,Ir,80.0,20.0,25,200,120.0,0.02,0.1,299
Ru,Ir,80.0,20.0,25,250,120.0,0.02,0.1,309
Ru,Ir,80.0,20.0,25,300,120.0,0.02,0.1,312
Ru,Ir,80.0,20.0,25,300,120.0,0.02,0.1,295
Ru,Ir,80.0,20.0,25,600,120.0,0.02,0.1,299
Ru,Ir,80.0,20.0,25,900,120.0,0.02,0.1,311
Ir,None,100.0,0.0,25,300,120.0,0.02,0.1,349
Ru,Ir,72.72727273,18.18181818,25,300,120.0,0.02,0.1,300
Ru,Ir,63.99223697,36.00776303,25,400,60.0,0.015286624,1.0,340
Ru,None,50.0,50.0,120,800,720.0,0.50955414,0.1,172
Ru,None,50.0,47.5,120,900,720.0,0.50955414,0.1,164
Ru,None,50.0,45.0,120,1000,720.0,0.50955414,0.1,169
Ru,None,50.0,42.5,120,1050,720.0,0.50955414,0.1,234
Ir,None,100.0,0.0,80,400,30.0,0.379,1.0,301
Ir,None,100.0,0.0,80,450,30.0,0.379,1.0,282
Ir,None,100.0,0.0,80,500,30.0,0.379,1.0,299
Ir,None,100.0,0.0,15,25,0.0,0.13333,1.0,293
Ti,Ir,85.76850095,14.23149905,25,25,0.0,0.039999,1.0,345
Ir,None,80.0,20.0,60,25,0.0,0.0255,0.1,334
Ir,None,75.0,25.0,60,25,0.0,0.0255,0.1,302
Ir,None,66.66666667,33.33333333,60,25,0.0,0.0255,0.1,353
Ir,Co,50.0,30.0,200,400,600.0,0.2,0.1,287
Ir,Co,60.0,24.0,200,400,600.0,0.2,0.1,304
Ir,Co,70.0,18.0,200,400,600.0,0.2,0.1,309
Ir,Co,80.0,12.0,200,400,600.0,0.2,0.1,329
Ir,Co,90.0,6.0,200,400,600.0,0.2,0.1,357
Ir,Co,70.0,18.0,200,400,600.0,0.2,0.1,328
Ir,Co,70.0,18.0,200,400,600.0,0.2,0.1,323
Co,Ir,94.30255403,5.697445972,25,800,120.0,0.1228,1.0,331
Ir,None,100.0,0.0,25,800,120.0,0.307,1.0,360
Sr,None,50.0,33.33333333,25,700,180.0,0.28,0.1,265
Sr,Ir,93.15525876,6.844741235,150,700,360.0,0.28,0.1,293
Ir,None,100.0,0.0,70,25,0.0,0.0102,0.1,419
Ir,None,100.0,0.0,70,25,0.0,0.0102,0.1,412
Ru,None,50.0,50.0,25,900,720.0,0.2,0.1,255
Ru,Y,50.0,50.0,120,1100,300.0,0.248,1.0,299
Ru,Y,50.0,46.25,120,1100,300.0,0.248,1.0,282
Ru,Y,50.0,43.75,120,1100,300.0,0.248,1.0,276
Ru,Y,50.0,40.0,120,1100,300.0,0.248,1.0,297
Ru,None,66.66666667,33.33333333,130,185,300.0,0.0128,0.1,220
Ru,None,90.0,10.0,25,500,240.0,1.5,3.0,223
Ir,Ru,33.33333333,33.33333333,60,450,180.0,0.326114649,1.0,396
Sr,None,49.58123953,33.24958124,180,700,300.0,0.13,0.1,314
Sr,Ir,59.46760422,20.592667,180,700,300.0,0.13,0.1,274
Sr,Ir,66.03457892,22.86670385,180,700,300.0,0.13,0.1,240
Sr,Ir,69.92263627,24.21307506,180,700,300.0,0.13,0.1,255
Sr,Ir,74.27854454,25.72145546,180,700,300.0,0.13,0.1,267
Ru,Ni,50.0,50.0,160,350,120.0,0.101910828,1.0,252
Ru,Ni,60.0,40.0,160,350,120.0,0.101910828,1.0,260
Ru,Ni,75.0,25.0,160,350,120.0,0.101910828,1.0,269
Ru,None,100.0,0.0,160,350,120.0,0.101910828,1.0,278
Ru,Ni,50.0,50.0,160,350,120.0,0.101910828,0.1,313
Ru,Ni,60.0,40.0,160,350,120.0,0.101910828,0.1,315
Ru,Ni,75.0,25.0,160,350,120.0,0.101910828,0.1,328
Ru,None,100.0,0.0,160,350,120.0,0.101910828,0.1,342
Ru,Ni,50.0,50.0,160,350,120.0,0.101910828,1.0,260
Ru,Ni,50.0,50.0,160,300,60.0,0.101910828,1.0,371
Ru,Ni,50.0,50.0,160,350,60.0,0.101910828,1.0,285
Ru,Ni,50.0,50.0,160,400,60.0,0.101910828,1.0,419
Ir,None,66.66666667,33.33333333,180,500,60.0,0.25477707,1.0,395
Ir,None,66.66666667,33.33333333,180,500,60.0,0.25477707,1.0,355
Ir,None,100.0,0.0,180,500,60.0,0.25477707,1.0,354
Na,Ir,99.0,0.8,60,500,30.0,3.306878307,1.0,279
Na,Ir,99.0,0.5,60,500,30.0,3.306878307,1.0,294
Na,Ru,99.0,1.0,60,500,60.0,0.7,1.0,191
Na,Ru,99.0,0.8,60,500,60.0,0.7,1.0,200
Na,Ru,99.0,0.5,60,500,60.0,0.7,1.0,213
Na,None,99.0,0.8,60,500,60.0,0.7,1.0,245
Co,None,99.0,1.0,140,400,180.0,0.2,1.0,470
Co,None,99.0,1.0,140,500,180.0,0.2,1.0,530
Co,None,99.0,1.0,140,600,180.0,0.2,1.0,550
Co,None,96.0,4.0,140,400,180.0,0.2,1.0,508
Co,None,98.0,2.0,140,400,180.0,0.2,1.0,511
Co,None,99.498998,0.501002004,140,400,180.0,0.2,1.0,516
Co,None,100.0,0.0,140,400,180.0,0.2,1.0,513
Co,None,96.29013373,3.709866272,120,400,120.0,0.2,1.0,537
Co,None,96.29013373,3.709866272,120,500,120.0,0.2,1.0,592
Co,None,92.84568305,7.154316953,120,400,120.0,0.2,1.0,573
Co,None,98.11000879,1.889991209,120,400,120.0,0.2,1.0,517
Co,None,96.29013373,3.709866272,120,400,480.0,0.2,1.0,564
Co,None,100.0,0.0,120,400,120.0,0.2,1.0,495
Ti,Ir,90.56603774,9.433962264,180,200,120.0,0.489171975,0.1,328
Ti,Ir,82.90728202,8.636175211,180,200,120.0,0.489171975,0.1,406
Ru,Y,50.0,50.0,80,1100,300.0,0.306,0.1,241
Ru,Y,50.0,50.0,80,1100,300.0,0.306,0.1,270
Ru,Y,50.0,50.0,80,1100,300.0,0.0612,0.1,279
Ru,Y,50.0,50.0,80,1100,300.0,0.153,0.1,257
Ru,Y,50.0,50.0,80,1100,300.0,0.459,0.1,239
Ru,None,50.0,37.5,25,1000,1440.0,0.25,1.0,171
Ru,None,100.0,0.0,280,25,0.0,0.018435644,0.1,377
Ru,None,50.0,33.33333333,280,400,60.0,0.018435644,0.1,326
Ru,None,50.0,33.33333333,280,400,60.0,0.018435644,0.1,236
Ru,Y,50.0,50.0,140,1050,720.0,0.275,1.0,294
Ru,Y,50.0,48.75,140,1050,720.0,0.275,1.0,282
Ru,Y,50.0,47.5,140,1050,720.0,0.275,1.0,263
Ru,Y,50.0,46.25,140,1050,720.0,0.275,1.0,281
Ru,None,50.0,50.0,80,1000,600.0,0.76433121,0.1,306
Ir,None,50.0,50.0,150,25,0.0,0.013916,1.0,371
Ir,None,75.0,25.0,150,25,0.0,0.014924,1.0,314
Ir,None,100.0,0.0,150,25,0.0,0.011228,1.0,292
Co,Ru,89.69488814,10.30511186,25,300,120.0,0.12845,1.0,378
Co,Ru,81.31525967,18.68474033,25,300,120.0,0.12845,1.0,289
Co,Ru,74.36756634,25.63243366,25,300,120.0,0.12845,1.0,266
Co,Ru,68.51366017,31.48633983,25,300,120.0,0.12845,1.0,334
Co,Ru,74.36756634,25.63243366,25,200,120.0,0.12845,1.0,450
Co,Ru,74.36756634,25.63243366,25,250,120.0,0.12845,1.0,271
Co,Ru,74.36756634,25.63243366,25,350,120.0,0.12845,1.0,304
Co,Ru,74.36756634,25.63243366,25,300,120.0,0.12845,1.0,269
Co,Ru,74.36756634,25.63243366,25,300,120.0,0.12845,1.0,212
Ir,None,61.97429462,38.02570538,25,400,360.0,0.16218,0.1,324
Ru,None,100.0,0.0,25,400,120.0,0.096,1.0,220
Ru,None,100.0,0.0,80,200,180.0,0.533333333,1.0,180
Ru,None,60.69651741,19.65174129,210,350,240.0,0.070063694,1.0,240
Ru,None,60.69651741,19.65174129,210,350,240.0,0.074904459,1.0,231
Ru,None,60.69651741,19.65174129,210,350,240.0,0.1,1.0,222
Ru,None,60.69651741,19.65174129,210,350,240.0,0.15,1.0,214
Ru,None,60.69651741,19.65174129,210,350,240.0,0.2,1.0,211
Ru,None,60.69651741,19.65174129,210,350,240.0,0.25,1.0,211
Ru,None,100.0,0.0,280,400,60.0,0.042384106,0.1,265
Ir,None,100.0,0.0,60,450,60.0,0.102,1.0,343
Ru,Ir,78.12549061,21.87450939,25,400,60.0,0.064,1.0,218
Ru,None,100.0,0.0,25,400,60.0,0.064,1.0,262
Ir,None,100.0,0.0,25,400,60.0,0.064,1.0,317
Ir,Co,90.90909091,9.090909091,25,25,0.0,0.106,0.1,284
Ir,Co,83.33333333,16.66666667,25,25,0.0,0.106,0.1,303
Ir,Co,60.0,40.0,25,25,0.0,0.106,0.1,299
Ir,None,100.0,0.0,100,450,120.0,0.072352,1.0,390
Ir,None,100.0,0.0,100,450,120.0,0.118048,1.0,198
Ir,None,100.0,0.0,100,450,120.0,0.140658,1.0,220
Ir,None,100.0,0.0,100,600,120.0,0.118048,1.0,265
Ir,None,100.0,0.0,100,750,120.0,0.118048,1.0,273
Ir,None,100.0,0.0,100,450,120.0,0.072352,0.2,400
Ir,None,100.0,0.0,100,450,120.0,0.118048,0.2,199
Ir,None,100.0,0.0,100,450,120.0,0.140658,0.2,230
Ir,None,100.0,0.0,100,450,120.0,0.072352,0.1,310
Ir,None,100.0,0.0,100,450,120.0,0.118048,0.1,190
Ir,None,100.0,0.0,100,450,120.0,0.140658,0.1,212
Ir,None,100.0,0.0,25,300,,1.7,1.0,220
Ir,None,100.0,0.0,25,350,,1.7,1.0,185
Ir,None,100.0,0.0,25,400,,1.7,1.0,225
Ir,None,100.0,0.0,180,50,60.0,0.463414634,1.0,262
Ir,None,100.0,0.0,180,100,60.0,0.469135802,1.0,284
Ir,None,100.0,0.0,180,200,60.0,0.452380952,1.0,293
Ir,None,100.0,0.0,180,300,60.0,0.447058824,1.0,302
Ir,None,100.0,0.0,180,400,60.0,0.441860465,1.0,309
Ir,None,100.0,0.0,180,500,60.0,0.426966292,1.0,350
Co,Ir,99.94555414,0.054445865,25,400,180.0,0.102040816,0.1,425
Co,Ir,99.72836226,0.271637742,25,400,180.0,0.102040816,0.1,380
Co,Ir,98.65641008,1.34358992,25,400,180.0,0.102040816,0.1,347
Co,Ir,97.34844617,2.651553831,25,400,180.0,0.102040816,0.1,296
Co,Ir,78.59302006,21.40697994,25,400,180.0,0.102040816,0.1,315
Co,Ir,97.34844617,2.651553831,25,25,0.0,0.000714286,0.1,413
Ir,None,100.0,0.0,200,500,1200.0,0.05,0.1,438
Ru,None,100.0,0.0,200,500,1200.0,0.05,0.1,452
Ru,Ir,44.44444444,44.44444444,198,25,0.0,0.051020408,0.1,236
Ru,Ir,44.44444444,44.44444444,198,25,0.0,0.051020408,0.1,313
Ru,Ir,44.44444444,44.44444444,198,25,0.0,0.051020408,0.1,392
Ru,Ir,50.0,50.0,198,25,0.0,0.051020408,0.1,345
Ir,None,51.5974732,48.4025268,25,25,0.0,0.013956728,1.0,302
Ir,Ni,88.88888889,11.11111111,25,25,0.0,0.017324841,0.2,304
Ir,None,100.0,0.0,25,400,180.0,0.857,1.0,252
Ir,None,95.0,5.0,25,400,180.0,0.857,1.0,246
Ir,None,90.0,10.0,25,400,180.0,0.857,1.0,241
Ir,None,67.0,33.0,25,400,180.0,0.857,1.0,267
Na,Ru,91.28194296,8.718057041,25,450,180.0,0.404,0.1,205
Na,Ru,91.28194296,8.718057041,25,400,180.0,0.404,0.1,229
Na,Ru,91.28194296,8.718057041,25,500,180.0,0.404,0.1,248
Na,Ru,91.28194296,8.718057041,25,550,180.0,0.404,0.1,245
Na,Ru,91.28194296,8.718057041,25,450,30.0,0.404,0.1,215
Na,Ru,91.28194296,8.718057041,25,450,60.0,0.404,0.1,208
Na,Ru,91.28194296,8.718057041,25,450,300.0,0.404,0.1,250
Ru,Y,50.0,50.0,300,550,300.0,0.025,0.1,270
Ir,Y,50.0,50.0,80,1000,720.0,0.102,0.1,370
Ir,None,50.0,50.0,25,240,7200.0,0.402,2.0,360
Co,None,66.66666667,33.33333333,25,900,360.0,0.666666667,1.0,558
Co,None,100.0,0.0,25,800,360.0,0.666666667,1.0,885
Ru,None,62.5,25.0,25,500,60.0,0.32,1.0,193
Ru,Ir,83.33333333,16.66666667,25,500,60.0,0.32,1.0,239
Ru,None,62.5,37.5,25,500,60.0,0.32,1.0,238
Ru,None,62.5,25.0,25,500,60.0,1.5,1.0,180
Ru,Ir,83.33333333,16.66666667,25,500,60.0,1.5,1.0,219
Ru,None,62.5,37.5,25,500,60.0,1.5,1.0,235
Ru,Ir,33.33333333,33.33333333,25,500,60.0,0.32,1.0,229
Ir,None,55.55555556,33.33333333,25,500,60.0,0.32,1.0,253
Ru,Ir,77.77777778,11.11111111,25,500,60.0,0.32,1.0,235
Sr,Ir,77.77777778,11.11111111,25,500,60.0,0.32,1.0,247
Ti,Ir,87.15203426,12.84796574,160,25,0.0,0.04375,0.1,362
Ti,Ir,82.00424178,13.67974549,100,25,0.0,0.04375,0.1,340
Ti,None,72.62160542,13.69864908,100,25,0.0,0.04375,0.1,328
Ti,None,57.10416837,29.21608614,100,25,0.0,0.04375,0.1,307
Ti,None,44.79723553,41.52301898,100,25,0.0,0.04375,0.1,295
Ir,Co,75.0,25.0,180,200,300.0,0.0255,0.1,247
Ir,Co,75.0,25.0,180,25,0.0,0.0255,0.1,280
Ir,Ru,37.4747407,37.47014966,180,25,0.0,0.15,1.0,223
Ir,Ru,37.4747407,37.47014966,180,25,0.0,0.3,1.0,218
Ir,Ru,37.4747407,37.47014966,180,25,0.0,0.6,1.0,210
Ir,Ru,37.4747407,37.47014966,180,25,0.0,0.9,1.0,206
Ir,Ru,37.4747407,37.47014966,180,25,0.0,0.15,0.1,244
Ir,None,70.0,30.0,25,250,60.0,0.661956411,0.2,396
Ir,None,70.0,30.0,25,300,60.0,0.661956411,0.2,309
Ir,None,70.0,30.0,25,350,60.0,0.661956411,0.2,294
Ir,None,70.0,30.0,25,400,60.0,0.661956411,0.2,334
