primary_metal,secondary_metal,primary_pct,secondary_pct,hydrothermal_temp_C,annealing_temp_C,annealing_time_min,catalyst_loading_mg_cm2,proton_conc_M,overpotential_mV
Ti,Ru,65.83413369,22.34822077,165,25,0.0,0.09,0.1,363
Ti,Ir,75.18610422,24.81389578,165,25,0.0,0.09,0.1,306
Ru,Ir,65.4109589,34.5890411,165,25,0.0,0.3,0.1,372
Ru,Ir,65.4109589,34.5890411,165,25,0.0,0.09,0.1,325
Ru,Y,50.0,50.0,80,950,720.0,0.255,1.0,297
Ru,Y,41.61979753,41.61979753,80,400,1440.0,0.255,1.0,250
Ru,Y,35.64547206,35.64547206,80,400,1440.0,0.255,1.0,235
Ir,None,77.04160247,22.95839753,80,25,0.0,0.05095,1.0,271
Ir,None,100.0,0.0,55,450,30.0,0.354,1.0,304
Ir,None,97.0,3.0,55,450,30.0,0.354,1.0,294
Ir,None,95.0,5.0,55,450,30.0,0.354,1.0,287
Ir,None,93.0,7.0,55,450,30.0,0.354,1.0,307
Ir,None,90.0,10.0,55,450,30.0,0.354,1.0,314
Ir,None,95.0,5.0,55,400,30.0,0.354,1.0,370
Ir,None,95.0,5.0,55,500,30.0,0.354,1.0,342
Ir,None,95.0,5.0,55,450,60.0,0.354,1.0,333
Ir,None,100.0,0.0,120,450,60.0,0.006868734,0.1,298
Ti,Ir,65.1255892,34.8744108,120,450,60.0,0.006940071,0.1,297
Ti,Ir,88.22351982,11.77648018,120,450,60.0,0.006613959,0.1,286
Ti,Ir,96.77059312,3.229406876,120,450,60.0,0.009192282,0.1,284
Ir,Co,75.0,25.0,25,500,60.0,0.8488,1.0,252
Ir,Co,50.0,50.0,25,500,60.0,0.8488,1.0,244
Co,Ir,75.0,25.0,25,500,60.0,0.8488,1.0,249
Ru,None,50.0,50.0,25,1200,600.0,0.5,1.0,190
Ru,None,100.0,0.0,25,800,600.0,0.5,1.0,300
Ir,Ni,90.0,10.0,70,25,0.0,0.0627,1.0,261
Ir,Ni,90.0,10.0,70,300,30.0,0.0627,1.0,270
Ir,Ni,90.0,10.0,70,400,30.0,0.0627,1.0,293
Ir,Ni,90.0,10.0,70,500,30.0,0.0627,1.0,314
Ir,None,50.0,50.0,80,500,180.0,0.5,1.0,156
Co,None,90.0,10.0,80,400,60.0,490.0,1.0,423
Co,None,100.0,0.0,80,400,60.0,490.0,1.0,507
