DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M),Electrolyte O2 Saturated (0/1),Overpotential (mV @10 mA cm-2)
10.1016/j.cej.2021.132825,Peoples R China,South China Univ Technol,CHEMICAL ENGINEERING JOURNAL,16.744,12/10/2021,8,406,0.019704433,Co,Ir,None,None,IrCo@NCNT/PC,82.33333333,17.66666667,0,0,25,30,1,0,0,0,300,5,60,0,1,0,0,0.1375,0.3625,0,0,5,1,0,300
10.1016/j.cej.2021.132825,Peoples R China,South China Univ Technol,CHEMICAL ENGINEERING JOURNAL,16.744,12/10/2021,8,406,0.019704433,Ir,None,None,None,Ir/NC,100,0,0,0,25,30,1,0,0,0,300,5,60,0,0,1,0,0.1,0.4,0,0,5,1,0,320
10.1016/j.joule.2021.10.002,Peoples R China,Soochow Univ,JOULE,46.048,1/4/2022,12,381,0.031496063,Ir,None,None,None,3R-IrO2,100,0,0,0,25,0,0,0,0,1,500,,30,1,0,0,0,0.255,0,0,0,5,0.1,1,188
10.1002/cssc.202102114,Germany,Max Planck Inst Kohlenforsch,CHEMSUSCHEM,9.14,12/24/2021,2,392,0.005102041,Ru,None,None,None,T-Ru/CP,100,0,0,0,25,1,1,0,0,0,700,1400,0,0,0,0,0,1.3307,0,0,1,10,1,,189
10.1002/cssc.202102114,Germany,Max Planck Inst Kohlenforsch,CHEMSUSCHEM,9.14,12/24/2021,2,392,0.005102041,Ru,Mo,None,None,T-RuMo/CP,80,20,0,0,25,1,1,0,0,0,930,1860,0,0,0,0,0,1.6907,0,0,1,10,1,,187
10.1002/cssc.202102114,Germany,Max Planck Inst Kohlenforsch,CHEMSUSCHEM,9.14,12/24/2021,2,392,0.005102041,Ru,Mo,None,None,T-RuMo/CP,60,40,0,0,25,1,1,0,0,0,930,1860,0,0,0,0,0,2.2907,0,0,1,10,1,,199
10.1002/cssc.202102114,Germany,Max Planck Inst Kohlenforsch,CHEMSUSCHEM,9.14,12/24/2021,2,392,0.005102041,Mo,Ru,None,None,T-RuMo/CP,60,40,0,0,25,1,1,0,0,0,930,1860,0,0,0,0,0,3.4907,0,0,1,10,1,,208
10.1002/cssc.202102114,Germany,Max Planck Inst Kohlenforsch,CHEMSUSCHEM,9.14,12/24/2021,2,392,0.005102041,Mo,Ru,None,None,T-RuMo/CP,80,20,0,0,25,1,1,0,0,0,930,1860,0,0,0,0,0,7.0907,0,0,1,10,1,,225
10.1021/acsami.1c20752,India,Acad Sci & Innovat Res AcSIR,ACS APPLIED MATERIALS & INTERFACES,10.383,1/8/2022,10,377,0.026525199,Ru,Co,None,None,Co-RuO2,99.65123038,0.348769618,0,0,25,1440,1,0,0,0,350,5,240,0,0,0,0,0.1,0,0,1,5,1,,328
10.1021/acsami.1c20752,India,Acad Sci & Innovat Res AcSIR,ACS APPLIED MATERIALS & INTERFACES,10.383,1/8/2022,10,377,0.026525199,Ru,None,None,None,RuO2,100,0,0,0,25,1440,1,0,0,0,350,5,240,0,0,0,0,0.1,0,0,1,5,1,,342
10.1021/acsami.1c20752,India,Acad Sci & Innovat Res AcSIR,ACS APPLIED MATERIALS & INTERFACES,10.383,1/8/2022,10,377,0.026525199,Co,None,None,None,Co3O4,100,0,0,0,25,1440,0,0,0,0,350,5,240,0,0,0,0,0.1,0,0,1,5,1,,600
10.1021/jacs.1c04087,Peoples R China,Univ Sci & Technol China,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,11/14/2021,21,432,0.048611111,Ba,Ir,None,None,IrOx/9R-BaIrO3,86.59177241,13.40822759,0,0,150,480,0,0,0,0,700,1.7,360,0,0,0,0,0.283,0,0,0,5,1,1,230
10.1021/jacs.1c04087,Peoples R China,Univ Sci & Technol China,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,11/14/2021,21,432,0.048611111,Sr,Ir,None,None,6H-SrIrO3,88.85812487,11.14187513,0,0,150,480,0,0,0,0,700,1.7,360,0,0,0,0,0.283,0,0,0,5,1,1,300
10.1039/D1EE02636D,South Korea,Korea Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,12/3/2021,13,413,0.031476998,Pt,Ru,Co,None,PtCo-RuO2/C,57.09728659,29.834028,13.06868541,0,260,120,0,0,1,0,400,,60,0,0,0,0,0.0417,0.1668,0,0,5,0.1,0,213
10.1039/D1EE02636D,South Korea,Korea Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,12/3/2021,13,413,0.031476998,Pt,Ru,None,None,Pt-RuO2/C,53.69840303,46.30159697,0,0,260,120,0,0,1,0,400,,60,0,0,0,0,0.0492,0.1968,0,0,5,0.1,0,274
10.1039/D1EE02636D,South Korea,Korea Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,12/3/2021,13,413,0.031476998,Ru,None,None,None,RuO2 NPs/C,100,0,0,0,280,120,0,0,1,0,400,,60,0,0,0,0,0.0263,0.1052,0,0,5,0.1,0,265
10.1039/D1TA07293E,India,Indian Inst Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/4/2021,10,412,0.024271845,Ru,Sb,None,None,[Ru+Sb]Oy,50,50,0,0,100,3,0,0,0,0,600,4,360,0,0,0,0,0.223,0,0,1,20,1,,454
10.1039/D1TA07293E,India,Indian Inst Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/4/2021,10,412,0.024271845,Mn,Sb,None,None,[Mn+Sb]Oy,50,50,0,0,100,3,0,0,0,0,600,4,360,0,0,0,0,0.177,0,0,1,20,1,,698
10.1039/D1TA07293E,India,Indian Inst Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/4/2021,10,412,0.024271845,Co,Sb,None,None,[Co+Sb]Oy,50,50,0,0,100,3,0,0,0,0,600,4,360,0,0,0,0,0.201,0,0,1,20,1,,808
10.1021/acsaem.1c03193,Peoples R China,Beijing Univ Chem Technol,ACS APPLIED ENERGY MATERIALS,6.959,12/31/2021,0,385,0,Ir,None,None,None,Ir/C,100,0,0,0,25,720,1,0,0,0,900,,60,0,1,0,0,0.178,0.222,0,0,10,0.1,1,271
10.1016/j.cej.2021.131707,Peoples R China,Chinese Acad Sci,CHEMICAL ENGINEERING JOURNAL,16.744,1/13/2022,5,372,0.01344086,Na,K,Ru,None,Ru-250,62.68790026,35.17142919,2.140670556,0,90,180,1,0,0,0,250,,120,0,0,0,0,0.255,0,0,0,5,1,0,210
10.1016/j.cej.2021.131707,Peoples R China,Chinese Acad Sci,CHEMICAL ENGINEERING JOURNAL,16.744,1/13/2022,5,372,0.01344086,Na,K,Ru,None,Ru-350,62.68790026,35.17142919,2.140670556,0,90,180,1,0,0,0,350,,120,0,0,0,0,0.255,0,0,0,5,1,0,262
10.1016/j.cej.2021.131707,Peoples R China,Chinese Acad Sci,CHEMICAL ENGINEERING JOURNAL,16.744,1/13/2022,5,372,0.01344086,Na,K,Ru,None,Ru-500,62.68790026,35.17142919,2.140670556,0,90,180,1,0,0,0,500,,120,0,0,0,0,0.255,0,0,0,5,1,0,302
10.1016/j.cej.2021.131707,Peoples R China,Chinese Acad Sci,CHEMICAL ENGINEERING JOURNAL,16.744,1/13/2022,5,372,0.01344086,Na,K,Ru,None,Ru-700,62.68790026,35.17142919,2.140670556,0,90,180,1,0,0,0,700,,120,0,0,0,0,0.255,0,0,0,5,1,0,388
10.1038/s41929-021-00703-0,Peoples R China,Donghua Univ,NATURE CATALYSIS,40.706,12/27/2021,66,389,0.16966581,Mn,Ru,None,None,4Ru-MnO2,95.96928983,4.030710173,0,0,25,720,1,0,0,0,200,5,60,0,0,0,0,0.2,0,0,0,5,0.1,1,287
10.1038/s41929-021-00703-0,Peoples R China,Donghua Univ,NATURE CATALYSIS,40.706,12/27/2021,66,389,0.16966581,Mn,Ru,None,None,6Ru-MnO2,92.25092251,7.749077491,0,0,25,720,1,0,0,0,200,5,60,0,0,0,0,0.2,0,0,0,5,0.1,1,234
10.1038/s41929-021-00703-0,Peoples R China,Donghua Univ,NATURE CATALYSIS,40.706,12/27/2021,66,389,0.16966581,Mn,Ru,None,None,12Ru-MnO2,74.8502994,25.1497006,0,0,25,720,1,0,0,0,200,5,60,0,0,0,0,0.2,0,0,0,5,0.1,1,161
10.1038/s41929-021-00703-0,Peoples R China,Donghua Univ,NATURE CATALYSIS,40.706,12/27/2021,66,389,0.16966581,Ru,None,None,None,RuO2,100,0,0,0,25,60,1,0,0,0,500,5,300,0,0,0,0,0.2,0,0,0,5,0.1,1,250
10.1088/2053-1583/ac26db,Peoples R China,Nankai Univ,2D MATERIALS,6.861,10/6/2021,3,471,0.006369427,Ru,None,None,None,RuO2-Ru/GDY-300,100,0,0,0,25,240,1,0,0,0,350,2,300,0,0,0,0,0.1415,0.1415,0,1,5,1,1,219
10.1088/2053-1583/ac26db,Peoples R China,Nankai Univ,2D MATERIALS,6.861,10/6/2021,3,471,0.006369427,Ru,None,None,None,RuO2-Ru/GDY-350,100,0,0,0,25,240,1,0,0,0,350,2,300,0,0,0,0,0.1415,0.1415,0,1,5,1,1,163
10.1088/2053-1583/ac26db,Peoples R China,Nankai Univ,2D MATERIALS,6.861,10/6/2021,3,471,0.006369427,Ru,None,None,None,RuO2-Ru/GDY-400,100,0,0,0,25,240,1,0,0,0,350,2,300,0,0,0,0,0.1415,0.1415,0,1,5,1,1,237
10.1016/j.nanoen.2021.106276,South Korea,Korea Adv Inst Sci & Technol KAIST,NANO ENERGY,19.069,10/15/2021,18,462,0.038961039,Ru,None,None,None,RuO2-NS/CF,100,0,0,0,25,300,0,0,0,0,350,2,120,0,0,0,0,1.2,0,0,1,5,1,,212
10.1016/j.nanoen.2021.106276,South Korea,Korea Adv Inst Sci & Technol KAIST,NANO ENERGY,19.069,10/15/2021,18,462,0.038961039,Co,Ru,None,None,RuO2-Co3O4/CF,89.79591837,10.20408163,0,0,25,300,0,0,0,0,350,2,120,0,0,0,0,1.2,0,0,1,5,1,,492
10.1016/j.nanoen.2021.106276,South Korea,Korea Adv Inst Sci & Technol KAIST,NANO ENERGY,19.069,10/15/2021,18,462,0.038961039,Co,None,None,None,Co3O4/CF,100,0,0,0,25,300,0,0,0,0,350,2,120,0,0,0,0,1,0,0,1,5,1,,546
10.3390/catal11101176,South Korea,Sungkyunkwan Univ,CATALYSTS,4.501,11/18/2021,0,428,0,Ti,Ir,None,None,BI-10,96.18320611,3.816793893,0,0,0,2880,1,1,0,0,25,0,0,0,0,0,0,0.028,0.252,1,0,5,0.1,1,461
10.3390/catal11101176,South Korea,Sungkyunkwan Univ,CATALYSTS,4.501,11/18/2021,0,428,0,Ti,Ir,None,None,BI-15,94.07114625,5.928853755,0,0,0,2880,1,1,0,0,25,0,0,0,0,0,0,0.042,0.238,1,0,5,0.1,1,342
10.3390/catal11101176,South Korea,Sungkyunkwan Univ,CATALYSTS,4.501,11/18/2021,0,428,0,Ti,Ir,None,None,BI-20,91.80327869,8.196721311,0,0,0,2880,1,1,0,0,25,0,0,0,0,0,0,0.056,0.224,1,0,5,0.1,1,377
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,None,None,None,Ir,100,0,0,0,25,5,1,0,0,0,500,,720,0,0,1,0,0.011,0,0,1,5,0.1,,394
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,Au,None,None,AuIr,50,50,0,0,25,5,1,0,0,0,500,,720,0,0,1,0,0.02173198,0,0,1,5,0.1,,351
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,Co,None,None,IrCo,50,50,0,0,25,5,1,0,0,0,500,,720,0,0,1,0,0.046833898,0,0,1,5,0.1,,356
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,Au,Co,None,IrAuCo,33.33333333,33.33333333,33.33333333,0,25,5,1,0,0,0,500,,720,0,0,1,0,0.057565878,0,0,1,5,0.1,,330
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,Ni,None,None,IrNi,50,50,0,0,25,5,1,0,0,0,500,,720,0,0,1,0,0.046833898,0,0,1,5,0.1,,357
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,Au,Ni,None,IrAuNi,33.33333333,33.33333333,33.33333333,0,25,5,1,0,0,0,500,,720,0,0,1,0,0.057565878,0,0,1,5,0.1,,335
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,Cu,None,None,IrCu,50,50,0,0,25,5,1,0,0,0,500,,720,0,0,1,0,0.044034375,0,0,1,5,0.1,,400
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,Au,Cu,None,IrAuCu,33.33333333,33.33333333,33.33333333,0,25,5,1,0,0,0,500,,720,0,0,1,0,0.054766355,0,0,1,5,0.1,,376
10.1002/smll.202102078,Peoples R China,Beijing Univ Chem Technol,SMALL,15.153,10/11/2021,9,466,0.019313305,W,Ir,None,None,Ir-WO3,91.28751917,8.71248083,0,0,95,300,0,0,0,0,400,,300,0,1,0,0,0.5,0,0,1,1,1,1,258
10.1002/smll.202102078,Peoples R China,Beijing Univ Chem Technol,SMALL,15.153,10/11/2021,9,466,0.019313305,W,None,None,None,WO3,100,0,0,0,95,300,0,0,0,0,400,,300,0,1,0,0,0.5,0,0,1,1,1,1,552
10.1002/smll.202102078,Peoples R China,Beijing Univ Chem Technol,SMALL,15.153,10/11/2021,9,466,0.019313305,Ir,None,None,None,IrO2,100,0,0,0,95,300,0,0,0,0,400,,300,0,1,0,0,0.045,0,0,1,1,1,1,741
10.1002/adma.202104638,Australia,Queensland Univ Technol,ADVANCED MATERIALS,32.086,10/16/2021,23,461,0.04989154,Ir,None,None,None,Ir_be,100,0,0,0,25,1440,1,0,0,0,25,0,0,0,1,0,0,0.13,1.727142857,1,1,5,1,,290
10.1016/j.apsusc.2021.150293,South Korea,Ewha Womans Univ,APPLIED SURFACE SCIENCE,7.392,9/7/2021,6,500,0.012,Ru,Au,None,None,Au/RuO2 NF,90.90909091,9.090909091,0,0,25,2880,1,0,0,0,300,1,180,0,0,0,0,0.8488,0,0,0,1,1,0,189
