DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h),Log (Decay Rate) (mV/h)
10.1021/acscatal.0c04117,Portugal,Int Iberian Nanotechnol Lab INL,ACS CATALYSIS,13.7,4/3/2021,33,657,0.050228311,Ir,Ru,Co,None,RuIr@CoNC-750,43.66294726,42.45777869,0.13879274,0,180,30,1,0,0,0,750,,30,0,1,0,0,0.05,0.12857142,0,0,1,10,30.36,0.890421019
10.1021/acscatal.0c04117,Portugal,Int Iberian Nanotechnol Lab INL,ACS CATALYSIS,13.7,4/3/2021,33,657,0.050228311,Ir,Ru,Co,None,RuIr@CoNC-750,43.66294726,42.45777869,0.13879274,0,180,30,1,0,0,0,750,,30,0,1,0,0,0.05,0.12857142,0,0,0.1,10,45,0.328379603
10.1002/adfm.201803722,Peoples R China,Soochow Univ,ADVANCED FUNCTIONAL MATERIALS,19.924,12/28/2018,50,1484,0.033692722,Ru,None,None,None,Ru NWs,97.9,2.1,0,0,180,180,1,0,1,0,25,0,0,0,0,0,0,0.1632648,0.0408162,0,0,1,5,20,0.230448921
10.1039/D1QI01361K,Peoples R China,Qingdao Univ Sci & Technol,INORGANIC CHEMISTRY FRONTIERS,7.779,1/18/2022,0,367,0,Ir,La,Ba,None,BaIrO 2.937 /La 3 IrO 7,33.33333333,33.33333333,0.333333333,0,25,,1,0,0,0,1200,2,240,0,0,0,0,1,0,0,0,0.1,10,7,1.029789471
10.1002/anie.202202519,Peoples R China,Harbin Inst Technol,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,3/31/2022,8,295,0.027118644,W,Ru,None,None,Ru-WC,87.5,12.5,0,0,60,120,1,0,0,0,780,3,600,0,1,0,0,0.001446309,0.019514691,1,0,1,10,10,0.45484486
10.1039/D0EE01960G,Peoples R China,Southern Univ Sci & Technol,ENERGY & ENVIRONMENTAL SCIENCE,39.714,1/12/2021,76,738,0.10298103,Na,Ru,None,None,RuO2 NSs,99,1,0,0,25,0,0,0,0,0,350,700,3,0,0,0,0,0.03125,0,0,0,1,10,6,0.753583059
10.1039/D0EE01960G,Peoples R China,Southern Univ Sci & Technol,ENERGY & ENVIRONMENTAL SCIENCE,39.714,1/12/2021,76,738,0.10298103,Na,Ru,None,None,RuO2 NSs,99,1,0,0,25,0,0,0,0,0,350,700,3,0,0,0,0,0.03125,0,0,0,1,1,6,0.26245109
10.1016/j.jcis.2018.06.014,Peoples R China,Shaanxi Normal Univ,JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.965,8/31/2018,14,1603,0.008733624,Ir,None,None,None,Ir@HEDP/CNB,100,0,0,0,160,720,0,0,0,0,25,0,0,0,0,0,0,0.02140127,0.0856,0,0,0.1,10,5,0.84509804
10.1021/acsami.0c00389,Peoples R China,Zhejiang Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,9/9/2020,14,863,0.01622248,Ir,Ce,None,None,Ce0.2-Ir@NPC,80,20,0,0,25,1440,1,0,0,0,500,,60,0,0,0,0,0.024,0.376,0,1,1,10,100,-0.397940009
10.1002/adfm.202200131,Peoples R China,Shanghai Jiao Tong Univ,ADVANCED FUNCTIONAL MATERIALS,19.924,5/20/2022,4,245,0.016326531,Ru,Mn,None,None,RuMn,50,50,0,0,25,480,1,0,0,0,800,5,420,0,0,0,0,,0,0,1,1,10,700,-2
10.1038/s41467-018-08144-3,Peoples R China,Chinese Acad Sci,NATURE COMMUNICATIONS,17.694,1/25/2019,265,1456,0.182005495,Cr,Ru,None,None,Cr0.6Ru0.4O2,60,40,0,0,25,1080,1,0,0,0,550,5,240,0,0,0,0,0.283085,0.283085,0,0,1,10,10,0.806179974
10.1039/C9CC01369E,Sweden,Uppsala Univ,CHEMICAL COMMUNICATIONS,6.065,6/4/2019,15,1326,0.011312217,Fe,Co,None,None,Co0.05Fe0.95,60,40,0,0,25,,1,0,0,0,450,,30,0,0,0,0,1,0,0,1,1,10,56.67,0.376576957
10.1039/C9CC01369E,Sweden,Uppsala Univ,CHEMICAL COMMUNICATIONS,6.065,6/4/2019,15,1326,0.011312217,Fe,Co,None,None,Co0.05Fe0.95,60,40,0,0,25,,1,0,0,0,450,,30,0,0,0,0,1,0,0,1,0.01,10,84.32,0.123851641
10.1039/C7SE00113D,Peoples R China,Wuhan Univ,SUSTAINABLE ENERGY & FUELS,6.813,1/26/2018,15,1820,0.008241758,Ir,Fe,None,None,Ir1Fe0.41/C,50,50,0,0,280,120,1,0,1,0,25,0,0,0,0,0,0,5,0.458598,0,0,1,10,3.888888888,1.261500773
10.1039/C7SE00113D,Peoples R China,Wuhan Univ,SUSTAINABLE ENERGY & FUELS,6.813,1/26/2018,15,1820,0.008241758,Ir,None,None,None,Ir/C,100,0,0,0,280,120,1,0,1,0,25,0,0,0,0,0,0,5,0.458598,0,0,1,10,3.888888888,0.613841822
10.1039/C7TA08982A,Peoples R China,Wuhan Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/21/2017,67,1856,0.036099138,Ir,Ni,Fe,None,IrNi0.57Fe0.82/C,33.33333333,33.33333333,0.333333333,0,300,120,0,0,1,0,25,0,0,0,0,0,0,0.130117708,0.520470833,0,0,0.5,10,5.555555555,0.409933123
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,Ru,None,None,None,3×RuO2@SiO2[300],100,0,0,0,-77,2,0,0,0,0,300,2,,0,0,0,0,0.75,0,0,1,6,10,120,-0.468521083
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,Ru,None,None,None,1×RuO2@C@SiO2[300/Ar],100,0,0,0,-77,2,0,0,0,0,300,2,,0,1,0,0,0.43,0,0,1,6,10,28.36,0.477121255
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,Ru,None,None,None,2×RuO2@C@SiO2[300/Ar],100,0,0,0,-77,2,0,0,0,0,300,2,,0,1,0,0,0.74,0,0,1,6,10,16.87,0.488550717
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,Ru,None,None,None,2×RuO2@C@SiO2[350/Ar],100,0,0,0,-77,2,0,0,0,0,350,2,,0,1,0,0,0.72,0,0,1,6,10,120,0.071882007
10.1002/adfm.202007344,Peoples R China,Beijing Univ Chem Technol,ADVANCED FUNCTIONAL MATERIALS,19.924,1/14/2021,8,736,0.010869565,Ru,None,None,None,Ru NW,100,0,0,0,180,180,0,0,1,0,25,0,0,0,0,1,0,0.12,0.48,0,0,0.1,10,12,0.698970004
10.1002/adfm.202007344,Peoples R China,Beijing Univ Chem Technol,ADVANCED FUNCTIONAL MATERIALS,19.924,1/14/2021,8,736,0.010869565,Ru,None,None,None,Ru NS,100,0,0,0,180,780,0,0,1,0,25,0,0,0,0,0,0,0.12,0.48,0,0,0.1,10,12,0.69019608
10.1039/D0CY00919A,Japan,Toyota Technol Inst,CATALYSIS SCIENCE & TECHNOLOGY,6.177,10/19/2020,16,823,0.019441069,Ir,None,None,None,IrO 2 -B-rGO-19.6,100,0,0,0,150,240,0,0,1,0,250,0,0,0,0,0,0,0.14,0.574285714,0,0,1,10,5,1.531478917
10.1021/acs.jpcc.1c07760,USA,Stanford Univ,JOURNAL OF PHYSICAL CHEMISTRY C,4.177,2/2/2022,4,352,0.011363636,Y,Ir,None,None,Y 2 Ir 2 O 7,54.54545455,45.45454545,0,0,80,420,1,0,0,0,550,2,120,0,0,0,0,0.026315789,0.026315789,0,0,1,10,5,1.921166051
10.1016/j.joule.2021.05.018,Peoples R China,Chinese Acad Sci,JOULE,46.048,8/29/2021,48,509,0.094302554,Mn,Ir,None,None,Ir-MnO2-5.13,84.12074528,15.87925472,0,0,25,2880,1,0,0,0,220,,360,0,0,0,0,4,0,0,1,1,10,650,-1.698970004
10.1016/j.joule.2021.05.018,Peoples R China,Chinese Acad Sci,JOULE,46.048,8/29/2021,48,509,0.094302554,Mn,Ir,None,None,Ir-MnO2-11.83,68.10205724,31.89794276,0,0,25,2880,1,0,0,0,220,,360,0,0,0,0,4,0,0,1,1,10,20,0.380211242
10.1016/j.joule.2021.05.018,Peoples R China,Chinese Acad Sci,JOULE,46.048,8/29/2021,48,509,0.094302554,Mn,Ir,None,None,Ir-MnO2-16.52,59.14283212,40.85716788,0,0,25,2880,1,0,0,0,220,,360,0,0,0,0,4,0,0,1,1,10,20,0.397940009
10.1016/j.joule.2021.05.018,Peoples R China,Chinese Acad Sci,JOULE,46.048,8/29/2021,48,509,0.094302554,Mn,Ir,None,None,Ir-MnO2-18.79,55.31858765,44.68141235,0,0,25,2880,1,0,0,0,220,,360,0,0,0,0,4,0,0,1,1,10,20,0.361727836
10.1038/s41467-020-18064-w,Singapore,Nanyang Technol Univ,NATURE COMMUNICATIONS,17.694,8/25/2020,125,878,0.142369021,Ir,None,None,None,Ir-NSG,100,0,0,0,25,,1,0,0,1,800,2.5,60,0,1,0,0,0.3,0,0,0,0.1,10,1.677,1.731508184
10.1002/smll.202108031,Peoples R China,Univ Elect Sci & Technol China,SMALL,15.153,3/16/2022,8,310,0.025806452,Ru,Ir,None,None,Ru@Ir-O,50,50,0,0,80,600,0,0,0,0,600,5,120,0,0,1,0,0.35,0.3619,0,0,1,10,40,0.012837225
10.1002/smll.202108031,Peoples R China,Univ Elect Sci & Technol China,SMALL,15.153,3/16/2022,8,310,0.025806452,Ru,Ir,None,None,Ru2@Ir1-O,66.66666667,33.33333333,0,0,80,600,0,0,0,0,600,5,120,0,0,1,0,0.175,0.17885,0,0,1,5,20,-2.05
10.1002/smll.202108031,Peoples R China,Univ Elect Sci & Technol China,SMALL,15.153,3/16/2022,8,310,0.025806452,Ru,Ir,None,None,Ru@Ir-O,50,50,0,0,80,600,0,0,0,0,600,5,120,0,0,1,0,0.175,0.18095,0,0,1,5,20,-3.25
10.1002/smll.202108031,Peoples R China,Univ Elect Sci & Technol China,SMALL,15.153,3/16/2022,8,310,0.025806452,Ir,Ru,None,None,Ru1@Ir2-O,66.66666667,33.33333333,0,0,80,600,0,0,0,0,600,5,120,0,0,1,0,0.175,0.175525,0,0,1,5,20,-2.45
10.1021/acsaem.9b00658,USA,Stanford Univ,ACS APPLIED ENERGY MATERIALS,6.959,9/13/2019,39,1225,0.031836735,Sr,Ir,None,None,Sr4IrO6,80,20,0,0,25,,1,0,0,1,1200,3,30,0,0,0,0,0.266666667,0.4,0,0,0.1,10,6,0.336459734
10.1021/acsaem.9b00658,USA,Stanford Univ,ACS APPLIED ENERGY MATERIALS,6.959,9/13/2019,39,1225,0.031836735,Sr,Ir,None,None,Sr2IrO4,66.66666667,33.33333333,0,0,25,,1,0,0,1,1200,3,30,0,0,0,0,0.18,0.72,0,0,0.1,10,6,0.713490543
10.1021/acsaem.9b00658,USA,Stanford Univ,ACS APPLIED ENERGY MATERIALS,6.959,9/13/2019,39,1225,0.031836735,Sr,Ir,None,None,SrIrO3,50,50,0,0,25,,1,0,0,1,900,3,720,0,0,0,0,0.136666667,0.546666667,0,0,0.1,10,6,0.875061263
10.1039/C8CC02008F,Peoples R China,East China Univ Sci & Technol,CHEMICAL COMMUNICATIONS,6.065,7/6/2018,52,1659,0.031344183,Mn,Ir,None,None,Ir0.4Mn0.6,60,40,0,0,220,720,0,0,0,0,400,,720,0,0,0,0,0.2,0,0,1,0.1,10,10,1
10.1039/C8CC02008F,Peoples R China,East China Univ Sci & Technol,CHEMICAL COMMUNICATIONS,6.065,7/6/2018,52,1659,0.031344183,Mn,Ir,None,None,Ir0.3Mn0.7,70,30,0,0,220,720,0,0,0,0,400,,720,0,0,0,0,0.2,0,0,1,0.1,10,10,1.033423755
10.1016/j.jcat.2019.01.018,Canada,Univ Alberta,JOURNAL OF CATALYSIS,8.047,5/20/2019,49,1341,0.036539896,Ir,None,None,None,50nm IrPPs,100,0,0,0,200,120,0,0,1,0,25,0,0,0,0,0,0,0.05,0,0,0,1,10,4.276,1.462397998
10.1039/D1QM00845E,Peoples R China,Tongji Univ,MATERIALS CHEMISTRY FRONTIERS,8.683,10/27/2021,0,450,0,Ti,N,Ir,None,IrO2/TiN1+X,45.39792207,45.39792207,0.092041559,0,80,360,1,0,0,0,400,5,60,0,0,0,0,0.12738,0,1,0,1,10,10,-0.920818754
10.1039/D1QM00845E,Peoples R China,Tongji Univ,MATERIALS CHEMISTRY FRONTIERS,8.683,10/27/2021,0,450,0,Ti,N,Ir,None,IrO2/TiN1+X,45.39792207,45.39792207,0.092041559,0,80,360,1,0,0,0,400,5,60,0,0,0,0,0.12738,0,1,0,1,50,10,-0.15490196
10.1039/D1QM00845E,Peoples R China,Tongji Univ,MATERIALS CHEMISTRY FRONTIERS,8.683,10/27/2021,0,450,0,Ti,N,Ir,None,IrO2/TiN1+X,45.39792207,45.39792207,0.092041559,0,80,360,1,0,0,0,400,5,60,0,0,0,0,0.12738,0,1,0,1,100,10,-0.096910013
10.1038/s41467-020-19212-y,Peoples R China,Zhejiang Univ,NATURE COMMUNICATIONS,17.694,10/23/2020,85,819,0.103785104,Ru,W,Er,None,Ru0.7W0.2Er0.1,70,20,0.1,0,80,720,0,0,0,0,400,5,120,0,0,0,0,0.33,0,0,1,1,10,500,-0.958607315
10.1038/s41467-019-12886-z,Peoples R China,Univ Sci & Technol China,NATURE COMMUNICATIONS,17.694,11/22/2019,236,1155,0.204329004,Ru,None,None,None,Ru-N-C,100,0,0,0,25,30,1,0,0,0,300,2,120,0,1,0,0,0.0028,0.2772,0,0,1,5,1,2.426511261
10.1016/j.elecom.2019.05.018,South Korea,KIST,ELECTROCHEMISTRY COMMUNICATIONS,5.443,8/27/2019,36,1242,0.028985507,Ru,Pt,None,None,Ru0.9Pt0.1O2/C,90,10,0,0,160,30,1,0,1,0,400,,120,0,0,0,0,0.0246,0.112066667,0,0,0.1,10,40,0.491361694
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,N,Ir,None,Ir/TiN-30,46.76409186,46.76409186,0.064718163,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.379,0,1,0,1,5,6,0.896526217
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,N,Ir,None,Ir/TiN-40,45.14106583,45.14106583,0.097178683,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.379,0,1,0,1,5,6,0.838849091
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,N,Ir,None,Ir/TiN-50,43.04932735,43.04932735,0.139013453,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.379,0,1,0,1,5,6,0.635483747
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,N,Ir,None,Ir/TiN-60,40.25157233,40.25157233,0.194968553,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.379,0,1,0,1,5,6,0.46686762
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,N,Ir,None,Ir/TiN-70,36.31778058,36.31778058,0.273644388,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.379,0,1,0,1,5,6,0.790285164
10.1016/j.jechem.2020.02.002,Peoples R China,Jilin Univ,JOURNAL OF ENERGY CHEMISTRY,13.599,6/30/2020,27,934,0.028907923,Ba,Ir,Pr,None,Ba4Ir3PrO3,50,37.5,0.125,0,25,,1,0,0,1,1150,,1440,0,0,0,0,0.562,0,0,0,0.1,10,10,-0.193820026
10.1016/j.jechem.2020.02.002,Peoples R China,Jilin Univ,JOURNAL OF ENERGY CHEMISTRY,13.599,6/30/2020,27,934,0.028907923,Ba,Ir,Bi,None,Ba4Ir3BiO3,50,37.5,0.125,0,25,,1,0,0,1,900,,1440,0,0,0,0,0.562,0,0,0,0.1,10,10,-0.107905397
10.1016/j.jechem.2020.02.002,Peoples R China,Jilin Univ,JOURNAL OF ENERGY CHEMISTRY,13.599,6/30/2020,27,934,0.028907923,Ba,Ir,Nb,None,Ba4Ir3NbO3,50,37.5,0.125,0,25,,1,0,0,1,1150,,1440,0,0,0,0,0.562,0,0,0,0.1,10,10,0.481442629
10.1038/s41467-021-20956-4,Japan,Kyoto Univ,NATURE COMMUNICATIONS,17.694,4/3/2021,53,657,0.080669711,Ru,Ir,None,None,RuIr NC,92,8,0,0,220,180,1,0,1,0,25,0,0,0,0,0,0,0.05,0.2,0,0,1,1,122,-0.26760624
10.1038/s41467-021-20956-4,Japan,Kyoto Univ,NATURE COMMUNICATIONS,17.694,4/3/2021,53,657,0.080669711,Ru,Ir,None,None,RuIr NC,92,8,0,0,220,180,1,0,1,0,25,0,0,0,0,0,0,0.05,0.2,0,0,1,10,40,0.267171728
10.1038/s41467-018-07678-w,Peoples R China,Jilin Univ,NATURE COMMUNICATIONS,17.694,12/28/2018,193,1484,0.130053908,Sr,Ir,None,None, 6H-SrIrO 3,88.86129964,11.13870036,0,0,150,720,1,0,0,0,700,1.7,360,0,0,0,0,0.9,0,0,0,1,0.5,30,-0.301029996
10.1039/C9CY00302A,Japan,Natl Inst Mat Sci,CATALYSIS SCIENCE & TECHNOLOGY,6.177,8/2/2019,31,1267,0.024467245,Ir,None,None,None,IrOx-150,100,0,0,0,80,300,0,0,1,0,150,,60,0,0,0,0,0.0091,0.0182,0,0,1,10,12,0.206825876
10.1039/C9CY00302A,Japan,Natl Inst Mat Sci,CATALYSIS SCIENCE & TECHNOLOGY,6.177,8/2/2019,31,1267,0.024467245,Ir,None,None,None,IrO2-400,100,0,0,0,80,300,0,0,1,0,400,,60,0,0,0,0,0.0091,0.0182,0,0,1,10,12,0.481442629
10.1021/jacs.6b07199,Germany,Tech Univ Berlin,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,9/28/2016,312,2305,0.135357918,Sn,Ir,Sb,None,Ir/ATO,76.94549085,16.33986928,0.067146399,0,160,30,1,0,0,0,250,,120,0,1,0,0,0.0102,0.0408,1,0,0.1,1,15,0.563481085
10.1002/adma.201805104,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS,32.086,3/7/2019,67,1415,0.047349823,Ir,Pr,None,None,Pr2Ir2O7,50,50,0,0,100,,1,0,0,0,900,,1440,0,0,0,0,0.057,0,0,0,0.1,10,2.77777777,1.395151592
10.1002/adma.201805104,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS,32.086,3/7/2019,67,1415,0.047349823,Ir,Nd,None,None,Nd2Ir2O7,50,50,0,0,100,,1,0,0,0,900,,1440,0,0,0,0,0.057,0,0,0,0.1,10,2.77777777,1.57333584
10.1002/adma.202110103,Australia,Univ New South Wales,ADVANCED MATERIALS,32.086,4/29/2022,30,266,0.112781955,Zr,Ru,Co,None,Ru/Co-N-C-800 (Ru:Co=1:1),99.45148038,0.274259811,0.002742598,0,120,1440,0,0,0,0,800,5,180,0,1,0,0,0.00204,0.39796,0,0,1,10,22,0.947433722
10.1038/s41929-019-0246-2,Peoples R China,Univ Sci & Technol China,NATURE CATALYSIS,40.706,4/22/2019,475,1369,0.34696859,Pt,Cu,Ru,None,Ru1–Pt3Cu,68.7,23.1,0.082,0,200,720,1,0,0,0,400,,720,0,1,0,0,0.036404192,0.084943115,0,0,0.1,10,28.5,0.136720567
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Co,None,Co:Ir =0.2:1,86.92484014,10.89596655,0.021791933,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,0.1,10,20,-0.301029996
10.1039/D1EE03610F,Peoples R China,Zhejiang Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,5/14/2022,10,251,0.039840637,Mn,Ru,None,None,Mn0.73Ru0.27O2-,55.55555556,44.44444444,0,0,25,60,1,0,0,0,350,,120,0,1,0,0,0.28,0,0,0,1,10,10,0.681241237
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-30,33.33333333,33.33333333,0.333333333,0,30,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,0,0.1,10,3,1.448242413
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-60,33.33333333,33.33333333,0.333333333,0,60,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,0,0.1,10,3,1.424554977
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-80,33.33333333,33.33333333,0.333333333,0,80,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,0,0.1,10,3,0.924795996
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-100,33.33333333,33.33333333,0.333333333,0,100,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,0,0.1,10,3,0.870403905
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-30,33.33333333,33.33333333,0.333333333,0,30,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,1,0.1,10,8,0.607455023
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-60,33.33333333,33.33333333,0.333333333,0,60,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,1,0.1,10,8,0.595496222
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-80,33.33333333,33.33333333,0.333333333,0,80,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,1,0.1,10,8,0.484299839
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-100,33.33333333,33.33333333,0.333333333,0,100,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,1,0.1,10,8,0.444044796
10.1038/s41467-019-08532-3,Singapore,Nanyang Technol Univ,NATURE COMMUNICATIONS,17.694,2/15/2019,190,1435,0.132404181,Sr,Co,Ir,None,SrCo0.9Ir0.1O3-,50,45,0.05,0,25,,1,0,0,1,1100,,720,0,1,0,0,0.25477707,0.101910828,0,0,0.1,10,3,1.113943352
10.1002/admi.201500669,USA,Rice Univ,ADVANCED MATERIALS INTERFACES,6.389,7/13/2016,112,2382,0.047019312,S,Ta,None,None,2H-TaS2,66.66666667,33.33333333,0,0,25,,1,0,0,1,750,0.034722222,20160,0,1,0,0,1,0,0,1,1,10,2,1.618048097
10.1002/admi.201500669,USA,Rice Univ,ADVANCED MATERIALS INTERFACES,6.389,7/13/2016,112,2382,0.047019312,S,Ta,None,None,1T-TaS2,66.66666667,33.33333333,0,0,25,,1,0,0,1,900,0.034722222,20160,0,1,0,0,1,0,0,1,1,10,2,1.829303773
10.1016/j.apcatb.2021.120562,Peoples R China,China Univ Geosci,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/7/2021,19,470,0.040425532,Sr,Ir,None,None,M-SrIrO 3,78.19677705,21.80322295,0,0,150,720,1,0,0,0,700,,360,0,0,0,0,0.2264,0,0,0,1,10,20,-0.259637311
10.1016/j.apcatb.2021.120562,Peoples R China,China Univ Geosci,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/7/2021,19,470,0.040425532,Sr,Ir,S,None,S doped M-SrIrO 3,73.28657643,20.43413585,0.062792877,0,150,720,1,0,0,0,700,,360,0,1,0,0,0.2264,0,0,0,1,10,20,-0.397940009
10.1039/C9NR00279K,Peoples R China,Chinese Acad Sci,NANOSCALE,8.307,6/14/2019,17,1316,0.012917933,Ir,Pt,None,None,Pt16@Ir84,83.33333333,16.66666667,0,0,100,720,1,0,0,0,25,0,0,0,0,0,0,0.097,0,0,0,0.1,10,2,1.40654018
10.1002/adfm.201700886,Peoples R China,Soochow Univ,ADVANCED FUNCTIONAL MATERIALS,19.924,7/19/2017,242,2011,0.12033814,Ir,Ni,None,None,IrNi NCs,50,50,0,0,180,300,1,0,1,0,25,0,0,0,0,1,0,0.0125,0.0384554,0,0,0.1,5,2,2.359835482
10.1002/aenm.202003561,Peoples R China,Qingdao Univ Sci & Technol,ADVANCED ENERGY MATERIALS,29.698,1/12/2021,17,738,0.02303523,La,Ir,None,None,La3IrO7,66.66584982,33.33415018,0,0,25,,1,0,0,1,1200,5,240,0,0,0,0,0.47157,0,0,0,0.1,10,16.66666667,0.755874856
10.1038/s41467-022-30064-6,Peoples R China,Nankai Univ,NATURE COMMUNICATIONS,17.694,5/12/2022,4,253,0.015810277,Mn,Br,None,None,Mn7.5O10Br3,70.96284297,29.03715703,0,0,25,,1,0,0,0,250,,300,0,0,0,0,7.184,0,0,1,1,10,500,-1.045757491
10.1038/s41467-022-30064-6,Peoples R China,Nankai Univ,NATURE COMMUNICATIONS,17.694,5/12/2022,4,253,0.015810277,Mn,Cl,None,None,Mn8O10Cl3,72.54086181,27.45913819,0,0,25,,1,0,0,0,250,,300,0,0,0,0,7.032,0,0,1,1,10,77.5,0.437750563
10.1039/C8NH00520F,South Korea,Korea Univ,NANOSCALE HORIZONS,11.684,7/1/2019,34,1299,0.02617398,Ir,Ni,Cu,Au,ACIN-CS,28.57142857,28.57142857,0.285714286,0.142857143,260,40,1,0,1,0,25,0,0,0,0,0,0,0.019267823,0.077071291,0,0,0.1,10,24,0.460897843
