DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h),Log (Decay Rate) (mV/h)
10.1039/D1TA07293E,India,Indian Inst Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/4/2021,10,412,0.024271845,Mn,Sb,None,None,[Mn+Sb]Oy,50,50,0,0,100,3,0,0,0,0,600,4,360,0,0,0,0,0.177,0,0,1,1,10,24,-0.420216403
10.1039/D1TA07293E,India,Indian Inst Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/4/2021,10,412,0.024271845,Co,Sb,None,None,[Co+Sb]Oy,50,50,0,0,100,3,0,0,0,0,600,4,360,0,0,0,0,0.201,0,0,1,1,10,24,0.781036939
10.1038/s41929-021-00703-0,Peoples R China,Donghua Univ,NATURE CATALYSIS,40.706,12/27/2021,66,389,0.16966581,Mn,Ru,None,None,12Ru-MnO2,74.8502994,25.1497006,0,0,25,720,1,0,0,0,200,5,60,0,0,0,0,2,0,0,1,0.1,10,200,-0.075720714
10.1038/s41929-021-00703-0,Peoples R China,Donghua Univ,NATURE CATALYSIS,40.706,12/27/2021,66,389,0.16966581,Mn,Ru,None,None,12Ru-MnO2,74.8502994,25.1497006,0,0,25,720,1,0,0,0,200,5,60,0,0,0,0,0.2,0,0,0,0.1,10,10,1.136720567
10.1088/2053-1583/ac26db,Peoples R China,Nankai Univ,2D MATERIALS,6.861,10/6/2021,3,471,0.006369427,Ru,None,None,None,RuO2-Ru/GDY-350,100,0,0,0,25,240,1,0,0,0,350,2,300,0,0,0,0,0.1415,0.1415,0,1,1,10,75,-0.244125144
10.1016/j.nanoen.2021.106276,South Korea,Korea Adv Inst Sci & Technol KAIST,NANO ENERGY,19.069,10/15/2021,18,462,0.038961039,Ru,None,None,None,RuO2-NS/CF,100,0,0,0,25,300,0,0,0,0,350,2,120,0,0,0,0,1.2,0,0,1,1,10,50,0.235528447
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,None,None,None,Ir,100,0,0,0,25,5,1,0,0,0,500,5,720,0,0,1,0,0.011,0,0,1,0.1,10,5,1.049218023
10.1021/acsmaterialslett.1c00428,USA,Univ Calif Berkeley,ACS MATERIALS LETTERS,11.17,10/28/2021,3,449,0.006681514,Ir,Au,None,None,AuIr,50,50,0,0,25,5,1,0,0,0,500,5,720,0,0,1,0,0.02173198,0,0,1,0.1,10,5,0.924279286
10.1016/j.apsusc.2021.150293,South Korea,Ewha Womans Univ,APPLIED SURFACE SCIENCE,7.392,9/7/2021,6,500,0.012,Ru,Au,None,None,RuAu NF,90.90909091,9.090909091,0,0,25,2880,1,0,0,0,300,10,240,0,0,1,0,0.8488,0,0,0,1,10,5.5556,0.653212514
10.1038/s41565-021-00986-1,Peoples R China,Zhejiang Univ,NATURE NANOTECHNOLOGY,40.523,11/3/2021,48,443,0.108352144,Ir,Tm,Ta,None,GB-Ta0.1Tm0.1Ir0.8,80,10,0.1,0,0,180,1,0,0,0,450,12750,120,0,0,0,0,0.0407,0,0,0,1,10,500,-2
10.1016/j.apsusc.2021.150478,Peoples R China,Chongqing Jiaotong Univ,APPLIED SURFACE SCIENCE,7.392,7/28/2021,5,541,0.009242144,Co,Ru,None,None,RCNC-O-4.55,62.90529401,37.09470599,0,0,25,1440,0,0,0,0,300,2,120,0,0,0,0,0.35,0.09877,0,0,1,10,12,0.534026106
10.1016/j.jpowsour.2021.230002,South Korea,Kwangwoon Univ,JOURNAL OF POWER SOURCES,9.794,6/17/2021,3,582,0.005154639,Ti,Ru,Ir,None,IrRu/T90G10,79.85456653,13.17732121,0.069681123,0,165,360,1,0,0,0,25,0,0,0,0,0,0,0.09,0.21,1,0,0.1,10,25,-0.167491087
10.1016/j.jpowsour.2021.229903,Peoples R China,Chinese Acad Sci,JOURNAL OF POWER SOURCES,9.794,7/1/2021,11,568,0.019366197,Ru,Y,None,None,YRuO,50,50,0,0,80,300,1,0,0,0,950,5,720,0,0,0,0,2,0.4,0,1,1,10,10,0
