temperature_K,salt_conc,salt,PC,DEC,EC,EMC,EA,DME,Sulfolane,TFP,DMC,2-MeTHF,conductivity_S_cm
332.15,0.474682725,LiBF4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.909090909
243.65,0.242622951,LiBOB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348946136
233.75,0.1875,LiBOB,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372881356
353.15,1.0,LiCF3SO3,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43
204.15,1.0464,LiPF6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03249
263.15,0.75,LiN(CF3SO2)2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8
282.85,1.004021779,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272924143
282.85,0.678111588,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.504896331
233.15,0.776470588,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289130435
297.7994493,0.6, LiBPFPB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.16262812
312.45,0.947987397,LiPF6,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.843174534
263.15,1.0,LiAsF6,0.175,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.35,7.73
282.85,0.885514019,LiBF4,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.538826638
263.15,0.875536481,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.334401257
302.55,1.0529,LiPF6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.441
322.35,1.0685,LiPF6,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23
273.15,1.5,LiPF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.09
243.65,1.224427694,LiBF4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403015075
323.15,1.075845974,LiPF6,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14.40697674
332.15,0.671052632,LiBF4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.297083069
322.35,1.49588667,LiBF4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222
328.3662046,0.6,LiBOB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.21261884
313.15,1.0,LiAsF6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47
322.35,1.7321,LiPF6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.729
233.75,0.271691272,LiBF4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409090909
204.15,1.4664,LiPF6,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363
322.35,1.485349519,LiBF4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.250034882
302.55,0.078125,LiBOB,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762711864
332.15,0.688636364,LiPF6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.53728693
243.15,1.0,LiAsF6,0.175,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.03
332.15,0.312236534,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
243.65,0.35,LiBOB,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792121212
312.45,0.605938962,LiBOB,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.113756614
253.35,0.067924528,LiBOB,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557566423
